"","X","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","new_window","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","kurtosis_roll_belt","kurtosis_picth_belt","kurtosis_yaw_belt","skewness_roll_belt","skewness_roll_belt.1","skewness_yaw_belt","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","amplitude_pitch_belt","amplitude_yaw_belt","var_total_accel_belt","avg_roll_belt","stddev_roll_belt","var_roll_belt","avg_pitch_belt","stddev_pitch_belt","var_pitch_belt","avg_yaw_belt","stddev_yaw_belt","var_yaw_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","var_accel_arm","avg_roll_arm","stddev_roll_arm","var_roll_arm","avg_pitch_arm","stddev_pitch_arm","var_pitch_arm","avg_yaw_arm","stddev_yaw_arm","var_yaw_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","kurtosis_roll_dumbbell","kurtosis_picth_dumbbell","kurtosis_yaw_dumbbell","skewness_roll_dumbbell","skewness_pitch_dumbbell","skewness_yaw_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","stddev_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","stddev_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","stddev_yaw_dumbbell","var_yaw_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","stddev_roll_forearm","var_roll_forearm","avg_pitch_forearm","stddev_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","stddev_yaw_forearm","var_yaw_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"3339",3339,"jeremy",1322673045,370662,"30/11/2011 17:10","no",410,0.6,5.2,-88.2,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,-0.02,-15,-1,45,48,636,-305,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.07,-277,158,-181,-422,430,409,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.62224543,-51.21154377,-76.65068708,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.14,-0.36,-142,153,-201,-507,332,46,53.2,-44.3,159,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,0.03,-0.07,233,112,-196,117,566,654,"A"
"3354",3354,"jeremy",1322673046,34659,"30/11/2011 17:10","no",411,0.23,5.26,-88.3,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.02,-0.02,-7,1,52,44,637,-293,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.05,-274,157,-183,-404,432,400,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.62224543,-51.21154377,-76.65068708,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.14,-0.36,-142,153,-201,-518,335,65,52.6,-43.5,159,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.03,229,108,-200,124,561,666,"A"
"3355",3355,"jeremy",1322673046,54677,"30/11/2011 17:10","no",411,0.24,5.54,-88.3,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0,0.02,-18,2,45,47,635,-290,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,-0.03,-275,157,-184,-405,435,398,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.17046443,-50.94159613,-76.38775895,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.14,-0.33,-141,154,-200,-523,337,53,52.7,-43.4,159,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.03,0,229,110,-199,119,557,674,"A"
"3373",3373,"jeremy",1322673046,742632,"30/11/2011 17:10","no",411,0.58,5.91,-88.3,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.02,0.05,-15,-1,47,44,642,-300,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,-0.02,-276,161,-185,-412,423,399,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.69420304,-50.70900687,-77.90751877,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.16,-0.36,-141,151,-204,-518,340,53,51.9,-43,159,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,0,-0.1,233,103,-197,122,547,664,"A"
"3374",3374,"jeremy",1322673046,794719,"30/11/2011 17:10","no",411,0.62,5.92,-88.3,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0.05,-17,3,46,47,633,-306,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,-0.02,-0.02,-274,162,-182,-415,431,396,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,53.80692517,-51.00720679,-78.43849854,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.16,-0.38,-141,148,-204,-522,331,53,51.8,-43,159,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.07,231,103,-199,120,553,669,"A"
"3384",3384,"jeremy",1322673047,130632,"30/11/2011 17:10","no",412,1.21,5.82,-88.2,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,-0.02,-14,1,44,50,635,-304,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.02,-0.03,-276,158,-184,-409,432,399,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.48516392,-50.66030976,-75.43287448,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.11,-0.34,-141,158,-199,-519,338,67,51.9,-42.9,159,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,-0.1,-0.07,232,115,-200,122,551,662,"A"
"3436",3436,"jeremy",1322673050,210630,"30/11/2011 17:10","no",414,1.02,5.23,-87.8,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.02,0.02,-13,4,43,49,637,-314,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.03,-279,158,-189,-405,424,389,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.21040945,-50.46676078,-75.84805032,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.16,-0.3,-142,159,-202,-528,323,59,50.2,-40.5,159,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.02,-0.1,241,114,-201,119,548,677,"A"
"3450",3450,"jeremy",1322673050,718641,"30/11/2011 17:10","no",414,1.34,3.91,-88,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.02,-0.02,-13,3,38,42,631,-324,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,-0.02,0.05,-286,159,-183,-420,437,390,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.01181954,-50.44193434,-76.95522401,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.16,-0.41,-141,155,-203,-525,328,51,51.9,-39.4,160,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.02,0.13,228,107,-203,121,551,670,"A"
"3451",3451,"jeremy",1322673050,738654,"30/11/2011 17:10","no",414,1.33,3.99,-88,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.02,0,-13,1,41,41,631,-304,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.07,-290,158,-181,-419,435,385,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.59048188,-50.24078904,-76.60264015,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.16,-0.41,-141,157,-203,-523,331,53,52,-39.4,160,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.03,0.11,227,113,-203,124,548,656,"A"
"3456",3456,"jeremy",1322673051,38646,"30/11/2011 17:10","no",415,1.38,4.89,-87.7,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.03,-0.02,-14,0,37,51,635,-315,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,0.03,0.02,-286,155,-185,-409,436,395,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,58.31362626,-49.04145409,-76.03451044,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.18,-0.46,-136,159,-199,-525,329,48,52.2,-39.3,159,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,-0.03,0.03,230,110,-202,128,552,662,"A"
"3494",3494,"jeremy",1322673052,350685,"30/11/2011 17:10","no",416,0.24,4.93,-87.8,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0.02,-12,2,38,48,633,-310,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,-0.03,0,-280,156,-183,-411,441,395,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,53.99721173,-51.58445681,-77.77716489,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.1,-0.36,-142,148,-202,-527,319,58,55.4,-37.2,157,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,-0.02,-0.03,224,109,-202,120,559,619,"A"
"3496",3496,"jeremy",1322673052,430659,"30/11/2011 17:10","no",416,0.34,5.38,-87.8,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.02,0.02,-17,2,39,50,634,-299,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,-0.03,0.02,-277,155,-182,-411,440,382,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,53.4517301,-51.84838286,-78.0300017,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.13,-0.38,-143,147,-203,-524,322,58,55.5,-37,156,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.05,-0.03,225,113,-204,124,558,619,"A"
"3501",3501,"jeremy",1322673052,614747,"30/11/2011 17:10","no",416,0.66,5.54,-87.8,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,0,0.02,-16,2,36,54,623,-314,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,-0.03,-282,160,-185,-410,441,382,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.64893779,-50.64146803,-78.00505,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.14,-0.39,-140,150,-203,-521,315,57,55.3,-37.1,155,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,0,-0.07,232,110,-201,122,568,623,"A"
"3515",3515,"jeremy",1322673053,358768,"30/11/2011 17:10","no",417,0.85,4.72,-87.6,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0,-0.02,-22,6,41,50,627,-319,0,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,-0.02,-0.07,-266,151,-184,-420,436,373,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,53.93619954,-52.32615091,-77.1915237,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.14,-0.31,-144,148,-201,-532,314,61,55.3,-36.7,154,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.03,-0.08,231,112,-202,131,561,626,"A"
"3531",3531,"jeremy",1322673053,803589,"30/11/2011 17:10","no",417,0.95,4.05,-87.8,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,0,-0.02,-12,3,35,49,630,-322,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,-0.02,-0.11,-277,155,-188,-420,438,386,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,50.16280479,-52.19046092,-80.56492211,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.13,-0.36,-141,136,-204,-535,312,62,55.3,-35.7,153,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,-0.02,-0.02,238,116,-204,127,568,623,"A"
"3544",3544,"jeremy",1322673054,490663,"30/11/2011 17:10","no",418,0.44,4.74,-87.8,5,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.02,0,-17,-1,42,49,626,-319,0,0,0,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.03,-0.03,-287,157,-192,-414,432,389,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.67679513,-44.04650258,-68.11684473,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.5,0.28,-130,198,-192,-506,361,36,55.7,-29,149,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,-1.33,-0.49,260,247,-146,63,623,679,"A"
"3551",3551,"jeremy",1322673054,538777,"30/11/2011 17:10","no",418,0.74,5.3,-87.7,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,0.02,-13,5,37,52,633,-312,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0.03,-0.44,-283,166,-170,-416,427,403,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,62.74856494,-46.91666433,-73.61857309,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.61,-0.11,-134,174,-199,-472,415,-1,55.1,0.29,144,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,-3.97,-0.15,211,273,-146,-231,795,833,"A"
"3556",3556,"jeremy",1322673054,818622,"30/11/2011 17:10","no",418,1.16,4.45,-87.8,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,0.02,0,-12,5,34,50,632,-321,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,-0.13,-275,162,-189,-419,420,413,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,66.43530611,-39.17677097,-75.94640933,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.1,-0.59,-122,197,-220,-442,446,-28,30,53.8,102,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,-2.89,-0.33,-45,220,-155,-658,490,722,"A"
"3576",3576,"jeremy",1322673055,790664,"30/11/2011 17:10","no",419,1.08,4.63,-87.8,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,0,-0.02,-16,0,36,55,621,-318,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.08,0.03,-274,154,-183,-422,418,410,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.29991145,-58.85559504,-70.09146957,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-0.13,-0.39,-167,158,-194,-490,400,-31,55,50.3,88.6,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16,1.3,0.94,-97,210,-151,-647,570,769,"A"
"3577",3577,"jeremy",1322673055,806647,"30/11/2011 17:10","no",419,1.07,4.51,-87.8,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,0,0.02,-13,3,36,47,623,-320,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.08,0.05,-279,155,-185,-420,410,410,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,68.32876373,-42.96561,-71.30272398,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.19,-0.34,-128,194,-201,-488,396,-24,60.4,43.3,92.3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29,4.05,0.43,-38,291,-159,-612,627,785,"A"
"3580",3580,"jeremy",1322673055,854692,"30/11/2011 17:10","no",419,1.09,3.87,-88,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,0,0,-13,9,36,42,623,-324,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,-0.02,-0.05,-279,154,-186,-426,417,410,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.35473255,-51.25781544,-76.85085691,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.13,-0.57,-139,149,-197,-486,401,-22,66.3,22.2,96.8,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,1.25,0.3,-14,233,-155,-468,768,819,"A"
"3583",3583,"jeremy",1322673055,878673,"30/11/2011 17:10","no",419,1.04,3.49,-88,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13,-0.03,-0.08,-10,3,35,41,631,-323,0,0,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.02,-280,152,-184,-425,423,413,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,50.85943711,-52.83350809,-79.41653848,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,-0.8,-147,142,-208,-492,388,-16,67,11.2,99.3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.19,2.67,-0.21,143,286,-147,-370,803,822,"A"
"3596",3596,"jeremy",1322673056,630848,"30/11/2011 17:10","no",420,0.38,4.6,-88,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.03,0.03,-14,-2,41,48,627,-297,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,0,-0.07,-279,157,-180,-430,414,414,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,59.74884573,-49.97708717,-73.91937991,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.4,-0.02,-138,162,-194,-514,353,10,65.7,-27.8,117,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,-1.49,-0.13,219,282,-127,20,652,728,"A"
"3599",3599,"jeremy",1322673056,678648,"30/11/2011 17:10","no",420,0.63,5.34,-87.9,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.02,0.05,-16,6,34,44,626,-312,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,0,0,-275,152,-185,-420,415,414,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,60.02068717,-49.44831449,-74.11031841,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.48,0.05,-142,169,-202,-501,370,13,64.1,-15.3,118,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-2.67,-0.51,237,271,-123,-115,744,823,"A"
"3605",3605,"jeremy",1322673056,986682,"30/11/2011 17:10","no",420,1,4.99,-88,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,0,0.02,-13,3,38,46,631,-320,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.02,-274,157,-181,-418,421,411,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,64.36595017,-45.19925786,-73.43993974,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,0.43,-0.41,-131,180,-201,-437,452,-39,56.2,50.2,105,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,-2.94,-0.2,-47,199,-159,-641,562,737,"A"
"3611",3611,"jeremy",1322673057,94746,"30/11/2011 17:10","no",421,1.1,4.28,-88,4,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,0.02,0.03,-11,1,41,48,634,-315,0,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03,-0.03,-0.02,-280,152,-179,-418,416,415,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,65.33851354,-42.18526182,-74.81980381,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,0.05,-0.97,-130,193,-216,-421,463,-45,3.46,75.9,46.1,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,-2.3,-0.21,-173,60,-177,-657,167,521,"A"
"3620",3620,"jeremy",1322673057,494711,"30/11/2011 17:10","no",421,1.54,5.23,-87.7,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0,0,-13,2,31,53,624,-321,0,0,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.64,0.14,0.05,-265,182,-102,-405,416,430,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.70367106,-41.14897088,-70.30878562,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13,0.02,-0.15,-133,216,-215,-437,454,-41,-37.1,73.1,-8.02,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,2.14,0.02,-209,-27,-184,-630,21,486,"A"
